 ra|dec|name|proper_motion_ra|proper_motion_ra_unc|proper_motion_dec|proper_motion_dec_unc|publication_id|V_tan|V_tan_unc|source_id
 008.23268|-44.08495|EROS-MP J0032-4405 | 0.1260| 0.0150|-0.0990| 0.0210|219| 31.0| 5.0|
 008.24730|+14.17696|SDSSp J003259.36+141036.6| 0.2730| 0.0070| 0.0390| 0.0040|244| 43.4| 7.7|1277
 008.34945|-15.35858|2MASS J00332386-1521309| 0.2910| 0.0160| 0.0430| 0.0170|219| 38.0| 8.0|593
 008.71475| +5.38468|2MASS J00345157+0523050| 0.6500| 0.0600| 0.2100| 0.0500|205| 44.0| 7.0|1279
 008.73690| -7.10033|2MASSI J0034568-070601 | 0.2000| 0.1000| 0.1000| 0.1000|224| 40.0|18.0|180
 009.06714|+18.35286|2MASSW J0036159+182110 | 0.8991| 0.0006| 0.1200| 0.0020|215| 37.7| 0.3|86
 009.42942|-58.77303|2MASS J00374306-5846229| 0.0490| 0.0100|-0.0510| 0.0200|219| 18.0| 5.0|332
 009.68329|+13.72761|SDSS J003843.99+134339.5 | 0.0640| 0.0160|-0.0410| 0.0080|210| 22.0| 4.0| 
 009.82849|+21.25444|HD 3651B |-0.4611| 0.0007|-0.3709| 0.0007|234| 31.2| 0.3|
 010.39742|-56.35353|2MASS J00413538-5621127| 0.0800| 0.1200|-0.0900| 0.1300|236|8.0| 9.0|344
 010.47725|+13.69311|SDSS J004154.54+134135.5 |-0.1740| 0.0240|-0.1380| 0.0360|210| 37.0| 5.0|
 011.33919|+16.57906|2MASSW J0045214+163445 | 0.3850| 0.0170|-0.0260| 0.0120|210| 26.0| 2.0|334
 011.70169| +7.25493|2MASS J00464841+0715177| 0.0980| 0.0220|-0.0510| 0.0100|210| 14.0| 3.0|102
 012.36150| -6.59646|2MASS J00492677-0635467|-0.1110| 0.0080|-0.4600| 0.0300|209| 57.0| 5.0|584
 012.58352|-33.37756|2MASS J00501994-3322402| 1.2000| 0.1100| 0.9000| 0.1200|241| 54.0| 8.0|1281
 012.60173|-15.63865|SIPS J0050-1538|-0.2290| 0.0180|-0.4940| 0.0190|219| 59.0| 8.0| 
 012.79494|-15.73804|2MASSW J0051107-154417 | 0.0430| 0.0150|-0.0210| 0.0160|219|7.0| 2.0|583
 013.22785|-27.09989|2MASS J00525468-2705597| 0.0560| 0.0050| 0.0900| 0.0050|242| 11.2| 2.7|1282
 013.32913|-36.51951|2MASS J00531899-3631102| 0.0180| 0.0150|-0.0850| 0.0190|219|9.0| 2.0|100
 013.52736| -0.51722|SDSSp J005406.55-003101.8| 0.2000| 0.0090|-0.1600| 0.0090|219| 68.0| 5.0| 
 014.67729| -6.85671|2MASSW J0058425-065123 | 0.2290| 0.0280|-0.2000| 0.0240|217| 47.0| 6.0|2044
 015.71270|-37.62880|2MASS J01025100-3737438| 1.4560| 0.0030| 0.2620| 0.0040|213| 85.6| 2.9|107
 015.88366|+19.59338|2MASSI J0103320+193536 | 0.3050| 0.0170| 0.0350| 0.0140|210| 33.0| 4.0|203
 016.03142| -0.89120|2MASSI J0104075-005328 | 0.4730| 0.0180|-0.0210| 0.0180|219| 99.0|11.0| 
 016.59521|-59.55515|2MASS J01062285-5933185| 0.0460| 0.0100|-0.1980| 0.0200|219| 32.0| 5.0|620
 016.81695|-15.29936|2MASS J01071607-1517577|-0.0310| 0.0160| 0.0110| 0.0170|219|5.0| 3.0|87
 016.96829| +0.69895|SDSSp J010752.33+004156.1| 0.6280| 0.0070| 0.0910| 0.0040|244| 46.9| 3.3|686
 017.28826|-49.91477|SSSPM J0109-4955 | 0.0950| 0.0130| 0.1680| 0.0200|219| 19.0| 2.0| 
 017.34113|+29.82396|2MASS J01092170+2949255| 1.0140| 0.0190| 0.3480| 0.0190|229| 93.0| 6.0| 
 017.46334| -3.72399|2MASS J01095117-0343264| 0.3600| 0.0020| 0.0180| 0.0020|213| 16.4| 0.4| 
 019.22738|-13.95948|2MASS J01165457-1357342|-0.0260| 0.0220|-0.1100| 0.0220|219| 19.0| 4.0| 
 019.44786|-34.05719|2MASSI J0117474-340325 | 0.0800| 0.0170|-0.0620| 0.0200|219| 18.0| 4.0|317
 020.20483| -7.68437|2MASS J01204916-0741036|-0.0130| 0.0190|-0.1150| 0.0190|229| 13.0| 3.0|319
 020.79697|-69.36054|2MASS J01231125-6921379| 0.1000| 0.1100|-0.0300| 0.0700|236| 10.0|10.0|704
 020.99607|-42.66866|SSSPM J0124-4240 |-0.1450| 0.0040|-0.2290| 0.0070|230| 32.0| 3.0| 
 021.19162|-57.76053|2MASS J01244599-5745379|-0.0030| 0.0100| 0.0180| 0.0190|219|7.0| 7.0|29
 021.40376|-34.58468|2MASSI J0125369-343505 | 0.1510| 0.0160| 0.0360| 0.0190|219| 32.0| 4.0| 
 021.91312|+28.09814|2MASS J01273917+2805536|-0.1334| 0.0003|-0.1348| 0.0003|215| 29.5| 0.2|1284
 022.11098|-55.75952|2MASS J01282664-5545343|-0.2490| 0.0190| 0.1540| 0.0190|222| 31.0| 3.0|424
