source_id,ra,dec,name,proper_motion_ra,proper_motion_ra_unc,proper_motion_dec,proper_motion_dec_unc,publication_id
1408,187.94804,+8.79253,2MASS J12314753+0847331,-1.176,0.021,-1.043,0.021,290
50,191.89875,-12.33106,2MASS J12473570-1219518,0.036,0.018,-0.223,0.018,290
,192.54858,+39.43283,SDSS J125011.65+392553.9,-0.015,0.008,-0.828,0.011,290
230,193.08508,-31.82467,2MASS J12522042-3149288,0.166,0.016,-0.032,0.019,290
546,195.17729,+19.20983,2MASSW J1300425+191235,-0.820,0.018,-1.244,0.019,290
16,195.47771,-15.17286,2MASS J13015465-1510223,-0.086,0.016,-0.075,0.017,290
18,195.66237,+3.86139,2MASS J13023897+0351410,-0.039,0.021,0.025,0.021,290
,196.57196,+38.34156,2MASS J13061727+3820296,-0.175,0.027,-0.008,0.035,290
,197.10446,+7.43089,2MASS J13082507+0725512,0.259,0.021,-0.416,0.021,290
,198.56462,-0.14667,SDSSp J131415.52-000848.1,-0.001,0.023,0.073,0.023,290
,198.87892,-26.83092,2MASSI J1315309-264951,-0.682,0.013,-0.282,0.014,290
385,200.17329,+9.96406,2MASS J13204159+0957506,-0.236,0.021,-0.129,0.021,290
,200.89987,-18.11053,DENIS-P J1323-1806,-0.097,0.016,-0.024,0.017,290
,200.96692,+30.24278,2MASS J13235206+3014340,-0.695,0.023,0.156,0.027,290
,201.58371,-27.49361,2MASSW J1326201-272937,-0.368,0.014,-0.028,0.016,290
,202.25412,-41.78703,2MASS J13290099-4147133,0.231,0.013,-0.280,0.017,290
663,204.37983,+49.64353,2MASS J13373116+4938367,0.039,0.016,0.049,0.025,290
819,205.29833,-30.88069,2MASS J13411160-3052505,0.030,0.013,-0.134,0.015,290
,205.51296,+13.67283,SDSS J134203.11+134022.2,0.000,0.019,-0.027,0.019,290
666,205.96979,-38.86069,2MASS J13435275-3851385,-0.044,0.014,-0.016,0.018,290
,206.99629,-76.16817,DENIS-P J1347590-761005,0.203,0.005,0.038,0.020,290
,207.00417,-3.07578,2MASS J13480100-0304328,0.191,0.020,-0.408,0.020,290
530,209.30154,+14.47772,2MASS J13571237+1428398,0.069,0.052,-0.006,0.053,290
1400,209.71954,+37.78714,SDSS J135852.68+374711.9,-0.010,0.013,-0.411,0.016,290
,209.85012,+47.47864,SDSS J135923.99+472843.2,-0.144,0.010,0.034,0.014,290
785,209.97958,-40.58283,2MASS J13595510-4034582,0.038,0.011,-0.485,0.015,290
,210.09667,+43.63950,SDSS J140023.12+433822.3,-0.235,0.020,0.012,0.028,290
786,210.59312,+6.81331,2MASS J14022235+0648479,0.056,0.021,-0.006,0.021,290
,210.63229,+1.80836,SDSS J140231.75+014830.3,-0.230,0.018,0.015,0.018,290
,210.73183,+8.01536,SDSS J140255.66+080055.2,0.065,0.021,-0.098,0.022,290
,211.17362,+2.59725,SDSS J140441.68+023550.1,0.072,0.019,-0.226,0.019,290
141,212.26292,-33.96569,2MASS J14090310-3357565,0.089,0.012,0.047,0.014,290
816,213.09450,+23.90300,2MASS J14122268+2354108,-0.175,0.036,0.068,0.039,290
1401,213.87512,+57.40833,SDSS J141530.05+572428.7,0.043,0.013,-0.345,0.025,290
1366,214.24946,+50.10717,SDSS J141659.78+500626.4,-0.297,0.013,0.188,0.021,290
374,214.91112,-31.61442,2MASS J14193867-3136519,-0.041,0.018,0.028,0.021,290
,215.61333,+22.26597,SDSS J142227.25+221557.1,0.047,0.019,-0.054,0.020,290
576,216.36658,-36.83969,DENIS-P J142527.97-365023.4,-0.268,0.015,-0.473,0.019,290
27,219.04071,+29.00972,2MASS J14360977+2900350,-0.098,0.018,0.068,0.021,290
21,219.68925,+55.98706,2MASS J14384542+5559134,-0.062,0.015,-0.059,0.027,290
,219.7291,-13.15287,2MASSW J1438549-130910,0.154,0.016,-0.022,0.017,290
,219.88929,+3.29975,SDSS J143933.44+031759.2,-0.013,0.021,0.030,0.021,290
,220.06758,+0.44417,SDSS J144016.20+002638.9,-0.006,0.021,0.004,0.021,290
653,220.26904,+27.32564,2MASS J14410457+2719323,0.089,0.030,-0.053,0.034,290
,220.36858,+50.76681,SDSS J144128.52+504600.4,0.077,0.013,-0.109,0.021,290
6,220.40483,-9.76639,DENIS-P J1441-0945G124-62B,-0.182,0.016,-0.038,0.016,290
4,222.10679,+10.53306,2MASSW J1448256+103159,0.262,0.022,-0.120,0.022,290
254,223.34596,+15.71892,2MASS J14532303+1543081,-0.011,0.018,0.028,0.018,290
,224.31233,-21.36325,Gliese570D,1.028,0.013,-1.688,0.014,290
236,224.60221,+28.66611,2MASS J14582453+2839580,-0.109,0.024,-0.432,0.028,290
,225.19050,+42.32911,2MASS J15004572+4219448,0.136,0.011,-0.065,0.015,290
,225.67008,+61.63772,SDSS J150240.80+613815.5,-0.098,0.010,0.036,0.022,290
775,226.94871,-16.46072,2MASSW J1507476-162738,-0.128,0.014,-0.906,0.015,290
1421,227.81108,+6.12864,SDSS J151114.66+060742.9,-0.252,0.021,-0.256,0.021,290
588,228.16908,+34.06392,2MASS J15124058+3403501,0.228,0.010,-0.010,0.012,290
,228.77529,+44.61342,SDSS J151506.11+443648.3,0.075,0.019,-0.020,0.027,290
1422,229.01262,+2.99144,SDSS J151603.03+025928.9,-0.048,0.022,-0.174,0.022,290
1423,229.17942,+30.89564,SDSS J151643.01+305344.4,-0.132,0.021,0.004,0.024,290
261,230.16558,+35.77250,SDSS J152039.82+354619.8,0.279,0.023,-0.386,0.028,290
1407,230.26362,+1.52850,SDSS J152103.24+013142.7,-0.232,0.018,0.085,0.018,290
,231.38050,+58.18125,SDSS J152531.32+581053.1,0.064,0.015,0.044,0.028,290
353,231.55854,+20.72817,2MASSI J1526140+204341,-0.207,0.018,-0.362,0.019,290
,232.78700,+6.01978,ULAS J153108.89+060111.1,0.028,0.025,-0.048,0.025,290
494,232.80600,+16.69117,2MASS J15311344+1641282,-0.076,0.025,0.040,0.026,290
1585,233.57129,+16.26286,SDSS J153417.05+161546.1AB,-0.066,0.020,-0.052,0.021,290
,233.72188,+12.33042,SDSS J153453.33+121949.2,0.177,0.020,-0.040,0.021,290
366,234.60071,-19.88656,2MASS J15382417-1953116,0.032,0.019,-0.061,0.020,290
365,234.83904,+65.04344,2MASS J15392137+6502364,-0.038,0.011,0.038,0.025,290
,235.03925,+37.70878,SDSS J154009.36+374230.3,-0.205,0.016,-0.382,0.020,290
,236.28754,+35.92419,SDSS J154508.93+355527.3,-0.183,0.016,0.063,0.020,290
,236.86346,+3.61003,SDSS J154727.23+033636.3,-0.062,0.019,0.056,0.019,290
83,236.94662,-24.39703,2MASS J15474719-2423493,-0.126,0.014,-0.143,0.015,290
,237.20467,+17.37664,SDSS J154849.02+172235.4,-0.277,0.019,-0.109,0.019,290
,237.24308,-16.60050,2MASS J15485834-1636018,-0.210,0.016,-0.107,0.017,290
84,237.96821,+9.68744,2MASS J15515237+0941148,-0.070,0.022,-0.050,0.022,290
,238.33925,+21.15197,2MASSW J1553214+210907,-0.045,0.015,0.114,0.016,290
1376,238.81554,-9.93486,2MASSW J1555157-095605,0.950,0.015,-0.767,0.015,290
338,241.61104,+68.62411,2MASS J16062665+6837268,-0.083,0.008,0.043,0.023,290
,244.11037,+22.31642,SDSS J161626.46+221859.2,-0.073,0.018,0.021,0.019,290
,244.38200,+40.31675,SDSS J161731.65+401859.7,-0.038,0.014,-0.132,0.019,290
480,244.68762,-13.35825,2MASS J16184503-1321297,-0.094,0.015,-0.081,0.015,290
,245.21317,+32.62561,SDSS J162051.17+323732.1,0.015,0.011,-0.033,0.014,290
,245.73054,+11.98994,SDSS J162255.27+115924.1,-0.128,0.025,-0.012,0.026,290
1469,247.16062,+23.14003,SDSS J162838.77+230821.1,0.497,0.020,-0.461,0.021,290
,247.59562,+8.30614,SDSS J163022.92+081822.0,-0.083,0.018,-0.084,0.019,290
,247.62725,+43.73422,SDSS J163030.53+434404.0,-0.138,0.020,0.052,0.028,290
228,247.67246,+9.64572,2MASS J16304139+0938446,-0.058,0.018,-0.069,0.018,290
,248.49721,-6.68200,SDSS J163359.23-064056.5,-0.232,0.015,-0.195,0.015,290
681,251.34196,+30.06864,2MASS J16452207+3004071,-0.065,0.019,-0.065,0.022,290
,251.34212,-13.33100,2MASSW J1645221-131951,-0.352,0.015,-0.801,0.016,290
496,252.26746,+4.74919,2MASS J16490419+0444571,0.054,0.023,0.083,0.023,290
311,253.37375,+62.52678,SDSS J165329.69+623136.5,0.031,0.016,-0.024,0.035,290
,254.07854,+28.58489,2MASSI J1656188+283506,0.011,0.027,-0.027,0.031,290
246,256.45142,-5.27950,DENIS-P J170548.38-051645.7,0.141,0.015,-0.101,0.015,290
,257.94650,+23.52528,SDSS J171147.17+233130.5,0.010,0.017,-0.085,0.018,290
,259.30867,+65.43947,SDSS J171714.10+652622.2,0.159,0.007,-0.092,0.016,290
532,260.68467,+63.49639,SDSS J172244.32+632946.8,0.013,0.012,-0.038,0.027,290
,262.75583,+53.17989,SDSS J173101.41+531047.9,0.064,0.011,0.162,0.018,290
,265.92283,+21.45192,2MASSW J1743415+212707,0.159,0.018,0.233,0.019,290
245,266.54996,+50.56767,2MASS J17461199+5034036,0.258,0.018,0.025,0.028,290
322,292.21650,-43.94044,2MASS J19285196-4356256,0.066,0.012,-0.273,0.016,290
104,294.00779,-55.04228,2MASS J19360187-5502322,0.169,0.009,-0.298,0.016,290
852,300.71137,-5.36456,2MASS J20025073-0521524,-0.102,0.014,-0.110,0.014,290
,308.65704,+8.45025,2MASS J20343769+0827009,-0.096,0.016,-0.489,0.016,290
619,309.01317,+10.85819,2MASS J20360316+1051295,-0.132,0.017,-0.184,0.018,290
193,310.42846,-35.11228,2MASS J20414283-3506442,0.063,0.010,-0.120,0.012,290
74,316.88204,-3.12603,2MASSI J2107316-030733,0.143,0.020,-0.009,0.020,290
802,316.97537,-45.73511,2MASS J21075409-4544064,0.107,0.014,-0.027,0.020,290
869,322.68600,-8.75569,2MASSW J2130446-084520,0.346,0.019,-0.044,0.019,290
,323.16817,+10.49706,SDSS J213240.36+102949.4,0.120,0.018,-0.007,0.019,290
,323.46975,+10.31139,SDSS J213352.72+101841.0,-0.008,0.012,-0.094,0.012,290
585,324.86150,+2.33961,2MASS J21392676+0220226,0.507,0.022,0.123,0.022,290
883,325.52417,-31.02117,2MASS J21420580-3101162,0.060,0.012,-0.095,0.014,290
19,327.06804,+40.06650,2MASS J21481633+4003594,0.770,0.018,0.456,0.024,290
462,327.56633,-75.34353,2MASS J21501592-7520367,0.879,0.005,-0.300,0.019,290
314,327.85596,-24.68333,2MASS J21512543-2441000,0.278,0.014,-0.021,0.015,290
1382,328.60392,-10.38394,2MASS J21542494-1023022,0.193,0.012,0.037,0.012,290
1446,328.63825,+59.70519,2MASS J21543318+5942187,-0.182,0.009,-0.445,0.017,290
466,329.45433,-55.57833,2MASS J21574904-5534420,0.043,0.011,-0.012,0.019,290
69,329.51904,-15.83606,2MASS J21580457-1550098,0.057,0.030,-0.035,0.032,290
757,331.68742,-42.28911,2MASSW J2206450-421721,0.111,0.013,-0.182,0.018,290
724,333.02929,+34.50975,2MASS J22120703+3430351,0.160,0.023,-0.232,0.028,290
443,333.43712,-21.60219,2MASS J22134491-2136079,0.033,0.017,-0.061,0.019,290
441,336.18254,-1.98114,2MASSW J2224438-015852,0.467,0.015,-0.869,0.015,290
173,339.53092,+43.88831,2MASSI J2238074+435317,0.324,0.012,-0.132,0.016,290
14,342.47271,+0.73461,SDSSp J224953.45+004404.2,0.075,0.018,0.026,0.018,290
754,343.71642,-28.67369,2MASSI J2254519-284025,0.000,0.023,0.024,0.026,290
233,343.82754,-57.21822,2MASS J22551861-5713056,-0.216,0.011,-0.260,0.020,290
434,350.69533,-31.55642,2MASS J23224684-3133231,-0.210,0.017,-0.519,0.020,290
,352.01912,-10.64589,SDSS J232804.58-103845.7,-0.010,0.015,-0.037,0.015,290
421,352.59408,-3.78858,2MASS J23302258-0347189,0.223,0.022,0.014,0.022,290
1448,352.84908,-47.30761,2MASS J23312378-4718274,0.104,0.013,-0.049,0.019,290
259,356.02600,-7.55783,2MASS J23440624-0733282,-0.013,0.027,-0.064,0.027,290
525,356.41262,+0.92047,2MASS J23453903+0055137,0.078,0.039,-0.045,0.039,290
